Sumfit = 634.96, Percentfit = 0.338645
Sumfit = 623.8, Percentfit = 0.332693
Sumfit = 601.48, Percentfit = 0.320789
Sumfit = 601.12, Percentfit = 0.320597
Sumfit = 600, Percentfit = 0.32
Sumfit = 600, Percentfit = 0.32
Sumfit = 600, Percentfit = 0.32
Sumfit = 600, Percentfit = 0.32
Sumfit = 600, Percentfit = 0.32
Sumfit = 600, Percentfit = 0.32
Sumfit = 65.2, Percentfit = 0.289778, DiffRate = 1.99693
Sumfit = 64.36, Percentfit = 0.286044, DiffRate = 1
Sumfit = 67, Percentfit = 0.297778, DiffRate = 1.01493
Sumfit = 63.72, Percentfit = 0.2832, DiffRate = 1.04478
Sumfit = 75.92, Percentfit = 0.337422, DiffRate = 1.10537
Sumfit = 80.56, Percentfit = 0.358044, DiffRate = 1.04965
Sumfit = 75.64, Percentfit = 0.336178, DiffRate = 1.04965
Sumfit = 78.2, Percentfit = 0.347556, DiffRate = 1.02483
Sumfit = 77.2, Percentfit = 0.343111, DiffRate = 1.03724
Sumfit = 87.84, Percentfit = 0.3904, DiffRate = 1.07969
Sumfit = 76.12, Percentfit = 0.338311, DiffRate = 1.12523
Sumfit = 84.56, Percentfit = 0.375822, DiffRate = 1.03415
Sumfit = 85.44, Percentfit = 0.379733, DiffRate = 1.02277
Sumfit = 90.24, Percentfit = 0.401067, DiffRate = 1.02216
Sumfit = 90.4, Percentfit = 0.401778, DiffRate = 1
Sumfit = 99.12, Percentfit = 0.440533, DiffRate = 1.08071
Sumfit = 94.84, Percentfit = 0.421511, DiffRate = 1.04036
Sumfit = 104.24, Percentfit = 0.463289, DiffRate = 1.04797
Sumfit = 121.44, Percentfit = 0.539733, DiffRate = 1.13999
Sumfit = 128.32, Percentfit = 0.570311, DiffRate = 1.04676
Sumfit = 124.16, Percentfit = 0.551822, DiffRate = 1.03117
Sumfit = 125.72, Percentfit = 0.558756, DiffRate = 1.01559
Sumfit = 120.88, Percentfit = 0.537244, DiffRate = 1.05455
